#Total No. of N-Gram Types: 197
#Total No. of N-Gram Tokens: 20043
1	28	5	типа
2	21	6	вместе
3	24	6	двадцать
4	21	6	моему
5	28	6	понятно
6	24	6	стоит
7	31	7	ага
8	28	7	говорят
9	22	7	две
10	27	7	знаешь
11	21	7	кажется
12	23	7	под
13	21	7	после
14	23	7	самое
15	26	7	та
16	27	7	таки
17	23	7	ходили
18	27	8	более
19	28	8	больше
20	30	8	быть
21	21	8	вон
22	33	8	года
23	33	8	день
24	24	8	дома
25	32	8	её
26	21	8	здравствуйте
27	37	8	значит
28	30	8	кого
29	24	8	людей
30	32	8	м
31	42	8	мм
32	25	8	ни
33	40	8	нужно
34	24	8	одновременно
35	43	8	почему
36	33	8	поэтому
37	43	8	себя
38	42	8	сегодня
39	35	8	со
40	23	8	сорок
41	27	8	сразу
42	39	8	такая
43	22	8	таких
44	22	8	те
45	26	8	тем
46	29	8	тогда
47	28	8	того
48	55	8	угу
49	36	8	чем
50	21	8	четыре
51	32	8	этой
52	26	8	эту
53	51	9	ааа
54	49	9	вам
55	22	9	ведь
56	54	9	во
57	42	9	вообще
58	44	9	всегда
59	24	9	всех
60	27	9	год
61	35	9	году
62	45	9	даже
63	34	9	два
64	25	9	дети
65	77	9	для
66	37	9	ему
67	40	9	еще
68	23	9	знаете
69	25	9	ии
70	27	9	какая
71	35	9	какой
72	47	9	которые
73	51	9	ли
74	42	9	люди
75	21	9	ммм
76	31	9	него
77	33	9	нибудь
78	41	9	них
79	28	9	ничего
80	22	9	общем
81	32	9	ой
82	33	9	опять
83	65	9	от
84	26	9	помню
85	60	9	потом
86	39	9	про
87	32	9	пять
88	48	9	раз
89	23	9	раньше
90	31	9	себе
91	42	9	сколько
92	35	9	такие
93	33	9	такое
94	36	9	тебе
95	34	9	уж
96	41	9	хорошо
97	24	9	чтоб
98	33	9	эта
99	37	9	этом
100	51	9	этот
101	711	10	а
102	115	10	аа
103	54	10	будет
104	118	10	бы
105	80	10	был
106	87	10	была
107	69	10	были
108	180	10	было
109	810	10	в
110	65	10	вас
111	754	10	вот
112	47	10	время
113	219	10	все
114	110	10	всё
115	183	10	вы
116	89	10	где
117	65	10	говорит
118	48	10	говорю
119	562	10	да
120	75	10	до
121	55	10	его
122	87	10	если
123	191	10	есть
124	52	10	ещё
125	39	10	ж
126	108	10	же
127	108	10	за
128	85	10	здесь
129	64	10	знаю
130	1028	10	и
131	97	10	из
132	81	10	или
133	61	10	их
134	121	10	к
135	371	10	как
136	56	10	какие
137	121	10	когда
138	63	10	конечно
139	35	10	который
140	72	10	кто
141	63	10	лет
142	145	10	меня
143	137	10	мне
144	45	10	много
145	49	10	может
146	38	10	можно
147	23	10	мой
148	253	10	мы
149	426	10	на
150	41	10	наверное
151	58	10	надо
152	43	10	нам
153	150	10	нас
154	681	10	не
155	109	10	нет
156	119	10	но
157	199	10	нрзб
158	526	10	ну
159	62	10	о
160	38	10	один
161	196	10	он
162	164	10	она
163	128	10	они
164	109	10	очень
165	218	10	по
166	27	10	понимаю
167	95	10	потому
168	62	10	просто
169	325	10	с
170	59	10	сейчас
171	32	10	сказать
172	24	10	сюда
173	237	10	так
174	49	10	такой
175	298	10	там
176	42	10	тебя
177	628	10	то
178	78	10	тоже
179	70	10	только
180	29	10	три
181	43	10	туда
182	96	10	тут
183	130	10	ты
184	399	10	у
185	179	10	уже
186	21	10	чего
187	40	10	человек
188	543	10	что
189	48	10	чтобы
190	52	10	щас
191	150	10	э
192	71	10	эти
193	550	10	это
194	44	10	этого
195	177	10	ээ
196	151	10	эээ
197	648	10	я
